"new.article.id","year","journal","pmid","author","title","abstract","url"
"X1","%D 1987","%B JAMA","%M 3027422",NA,"%T Postservice mortality among Vietnam veterans. The Centers for Disease Control Vietnam Experience Study","%X The postservice mortality (through December 1983) of a cohort of 9324 US Army veterans who served in Vietnam was compared with that of 8989 Vietnam-era Army veterans who served in Korea, Germany, or the United States. Over the entire follow-up period, total mortality in Vietnam veterans was 17% higher than for other veterans. The excess mortality occurred mainly in the first five years after discharge from active duty (rate ratio, 1.45; 95% confidence interval, 1.08 to 1.96) and involved motor vehicle accidents, suicide, homicide, and accidental poisonings. Thereafter, mortality among Vietnam veterans was similar to that of other Vietnam-era veterans, except for drug-related deaths, which continued to be elevated. An unexpected finding was a deficit in deaths from diseases of the circulatory system among Vietnam veterans. The excess in postservice mortality due to external causes among Vietnam veterans is similar to that found among men returning from combat areas after World War II and the Korean War.","%U https://www.ncbi.nlm.nih.gov/pubmed/3027422"
"X26","%D 2014","%B Mil Med","%M 25269121","%A Alexander, C. L.","%T Comparing U.S. Army suicide cases to a control sample: initial data and methodological lessons","%X Identification of risk and protective factors for suicide is a priority for the United States military, especially in light of the recent steady increase in military suicide rates. The Department of Defense Suicide Event Report contains comprehensive data on suicides for active duty military personnel, but no analogous control data is available to permit identification of factors that differentially determine suicide risk. This proof-of-concept study was conducted to determine the feasibility of collecting such control data. The study employed a prospective case-control design in which control cases were randomly selected from a large Army installation at a rate of four control participants for every qualifying Army suicide. Although 111 Army suicides were confirmed during the study period, just 27 control soldiers completed the study. Despite the small control sample, preliminary analyses comparing suicide cases to controls identified several factors more frequently reported for suicide cases, including recent failed intimate relationships, outpatient mental health history, mood disorder diagnosis, substance abuse history, and prior self-injury. No deployment-related risk factors were found. These data are consistent with existing literature and form a foundation for larger control studies. Methodological lessons learned regarding study design and recruitment are discussed to inform future studies.","%U https://www.ncbi.nlm.nih.gov/pubmed/25269121"
"X70","%D 2022","%B Curr Psychiatry Rep","%M 35576090","%A Amin, R.","%T Guiding Army Commanders' Decision-making Process in Managing Their Suicide Prevention Programs","%X This paper focuses on how mental health professionals working with Army commanders can help them make decisions based on valid population-based metrics. We first summarize the scope of the impact of suicides on the Army. We then describe the process by which decision-making can be optimized.|The currently available tools in the US Army including BH Pulse, Unit Risk Inventory, The Azimuth Check, and the Army Readiness Assessment Program have a role in assisting mental health professionals. The specific advantages of BH Pulse over the other tools are highlighted. The US Army has been committed to enhancing its suicide prevention program through comprehensive policies, procedures, and provisions of resources. Commanders are expected to interact with the suicide prevention programs in their units and maximize the systems in place to prevent suicides and other negative mental health outcomes. Commanders are expected to receive cues and signals from a variety of data sources to assist their decision-making process. We discuss the specific advantages of BH Pulse and recommend its routine use for primary prevention and utilizing this tool after incidents to make data-driven, justifiable decisions. Finally, recommendations are provided on enhancing a unit's suicide prevention program.","%U https://www.ncbi.nlm.nih.gov/pubmed/35576090"
"X103","%D 2018","%B US Army Med Dep J","%M 30623398","%A Amin, R.","%T Motivational Guest Speaker Presentation as an Anti-Stigma Intervention for US Army Soldiers","%X Stigma towards mental illness represents a significant challenge. No specific anti-stigma military training curricula currently exists. An infantry division sought to reduce stigma by inviting 2 guest speakers to address Soldiers. The intervention was designed on social contact theory and executed as a quality improvement project. The intervention was speakers self-disclosing their own mental health struggles and having the audience contact with persons from the stigmatized group. Postintervention evaluation (N=361) demonstrated significant reduction in stigma scores (t=8.128, df=329, P<.001, 2-tailed, d=0.3), and effect size was greatest (d=1.17) among those with greater baseline stigma scores. Soldiers also reported positive perceptions of help-seeking behaviors. Given these findings, other units could conduct these type of training events to target stigma toward mental illness.","%U https://www.ncbi.nlm.nih.gov/pubmed/30623398"
"X137","%D 2012","%B Inj Prev","%M 22398362","%A Bachynski, K. E.","%T Mental health risk factors for suicides in the US Army, 2007--8","%X Suicides among active duty US Army personnel have been increasing since 2004, surpassing comparable civilian rates in 2008. This analysis uses US military data to assess suicide rates for the 2-year period 2007--8, and examines relative risks (RR) of suicide associated with mental health disorders.|Historical trends of US Army suicides were assessed using 1977--2008 data from Army G-1 (Personnel). Suicide rates, RR and the 2000--8 trends of mental health disorders were calculated using data from the Defense Casualty Information Processing System and Defense Medical Surveillance System.|A total of 255 soldiers committed suicide in 2007--8 (2008 rate 20.2 per 100â€ˆ000). Factors associated with higher suicide risk included male gender, lower enlisted rank and mental health disorders treated on an outpatient basis (RR 3.9), as well as a number of mental health disorders (mood disorders, anxiety disorders, post-traumatic stress disorder, personality/psychotic disorders, substance-related disorders and adjustment disorder; RR range 4.7--24.5). Analysis of historical trends suggested that 25--50% of the suicides that occurred in 2008 might have been related to the major commitment of troops to combat beginning in 2003.|The recent increase in suicides parallels an increase in the prevalence of mental disorders across the army. This finding suggests that increasing rates of clinically treated psychopathology are associated with increasing rates of suicides; these rates probably serve as sentinels for suicide risk in this population. Soldiers seeking treatment for mental disorders and substance abuse should be a focus for suicide prevention.","%U https://www.ncbi.nlm.nih.gov/pubmed/22398362"
"X178","%D 2020","%B J Affect Disord","%M 32090779","%A Bartone, P. T.","%T Influence of hardiness, avoidance coping, and combat exposure on depression in returning war veterans: A moderated-mediation study","%X Depression is a serious problem among military personnel returning from combat deployments, and is related to a range of adverse outcomes including alcohol and drug abuse, family violence and suicide. The present study explores how psychological hardiness, avoidance coping, and combat stress exposure may influence depression in U.S. Army soldiers returning from a one-year deployment to Afghanistan.|National Guard soldiers (NÂ =Â 357) completed surveys upon their return to home station, including measures of hardiness, avoidance coping, combat exposure, and depression. Path analysis with ordinary least squares regression procedures (PROCESS program; Hayes, 2013) were applied to test for mediation and moderation effects among the study variables.|Results showed a pattern of moderated-mediation. In the mediation model, hardiness had a significant effect on depression, which was mediated by avoidance coping. Soldiers low in hardiness reported using more avoidance coping strategies, which was related to increased depression. This effect in turn was seen to be conditional, moderated by level of combat exposure such that the effect was stronger at high levels of exposure.|Data are cross-sectional, and the sample consisted of male soldiers only, which may limit generalizability.|Depression and related problems among combat veterans may be diminished by applying training programs and policies aimed at increasing hardiness attitudes and active coping skills.","%U https://www.ncbi.nlm.nih.gov/pubmed/32090779"
"X248","%D 2017","%B Int J Environ Res Public Health","%M 28362333","%A Baucom, B. R.","%T The Promise and the Challenge of Technology-Facilitated Methods for Assessing Behavioral and Cognitive Markers of Risk for Suicide among U.S. Army National Guard Personnel","%X Suicide was the 10th leading cause of death for Americans in 2015 and rates have been steadily climbing over the last 25 years. Rates are particularly high amongst U.S. military personnel. Suicide prevention efforts in the military are significantly hampered by the lack of: (1) assessment tools for measuring baseline risk and (2) methods to detect periods of particularly heightened risk. Two specific barriers to assessing suicide risk in military personnel that call for innovation are: (1) the geographic dispersion of military personnel from healthcare settings, particularly amongst components like the Reserves; and (2) professional and social disincentives to acknowledging psychological distress. The primary aim of this paper is to describe recent technological developments that could contribute to risk assessment tools that are not subject to the limitations mentioned above. More specifically, Behavioral Signal Processing can be used to assess behaviors during interaction and conversation that likely indicate increased risk for suicide, and computer-administered, cognitive performance tasks can be used to assess activation of the suicidal mode. These novel methods can be used remotely and do not require direct disclosure or endorsement of psychological distress, solving two challenges to suicide risk assessment in military and other sensitive settings. We present an introduction to these technologies, describe how they can specifically be applied to assessing behavioral and cognitive risk for suicide, and close with recommendations for future research.","%U https://www.ncbi.nlm.nih.gov/pubmed/28362333"
"X344","%D 2010","%B Suicide Life Threat Behav","%M 20822367","%A Bell, N. S.","%T Prior health care utilization patterns and suicide among U.S. Army soldiers","%X Suicides among U.S. Army soldiers are increasing and, in January 2009, outpaced deaths due to combat. For this study, 1,873 army suicides identified through death, inpatient, and emergency room records were matched with 5,619 controls. In multivariate models, older, male, White, single, and enlisted soldiers with a prior injury (OR = 2.04, 95% CI = 1.64-2.54), alcohol (OR = 3.41, 95% CI = 2.32-4.99), or mental health hospitalization (OR = 6.62, 95% CI = 4.77-9.20) were at increased risk for suicide. Risk was greatest immediately following diagnoses, but remained elevated even after 5 or more years of follow-up. Most injury hospitalizations were unintentional but, nonetheless, significantly associated with suicide. Interactions indicate soldiers with both mental health and injury history are particularly vulnerable.","%U https://www.ncbi.nlm.nih.gov/pubmed/20822367"
"X381","%D 2010","%B Mil Med","%M 20684449","%A Belmont, P. J.","%T Disease and nonbattle injuries sustained by a U.S. Army Brigade Combat Team during Operation Iraqi Freedom","%X A longitudinal cohort analysis of disease nonbattle injuries (DNBI) sustained by a large combat-deployed maneuver unit has not been performed.|A descriptive analysis was undertaken to evaluate for DNBI casualty care statistics incurred by a U.S. Army Brigade Combat Team (BCT) during a counterinsurgency campaign of Operation Iraqi Freedom.|Of the 4,122 soldiers deployed, there were 1,324 DNBI with 5 (0.38%) deaths, 208 (15.7%) medical evacuations (MEDEVAC), and 1,111 (83.9%) returned to duty. The DNBI casualty rate for the BCT was 257.0/1,000 soldier combat-years. Females, compared with males, had a significantly increased incidence rate ratio for becoming a DNBI casualty 1.67 (95% CI 1.37, 2.04). Of 47 female soldiers receiving MEDEVAC 35 (74%) were for pregnancy-related issues. Musculoskeletal injuries (50.4%) and psychiatric disorders (23.3%) were the most common body systems involved with DNBI casualties. Among the BCT cohort the psychiatric DNBI casualty rate and suicide rate were 59.8 and 0.58 per 1,000 soldier combat-years. The BCT cohort incidence rates for common musculoskeletal injuries per 1,000 combat-years were as follows: ankle sprain 15.3, anterior cruciate ligament rupture 3.3 and shoulder dislocation 1.2.|Musculoskeletal injuries and psychiatric disorders accounted for 74% of the total DNBI casualties, and 43% of the DNBI casualties requiring subsequent MEDEVAC. The BCT cohort had a suicide rate nearly four times greater than previously reported, and selected musculoskeletal injury incidence rates were fivefold greater than the general population.","%U https://www.ncbi.nlm.nih.gov/pubmed/20684449"
"X429","%D 2006","%B Compr Psychiatry","%M 17067875","%A Boscarino, J. A.","%T External-cause mortality after psychologic trauma: the effects of stress exposure and predisposition","%X Research suggests that exposure to psychologic trauma is associated with mortality from external causes, including homicide, suicide, drug overdoses, and unintended injury. However, the etiology of this association is unclear. We examined the survival time and cause of death among a national sample of 15288 US Army veterans by posttraumatic stress disorder (PTSD) status 30 years after military service. In these analyses, we included demographic (age, race, marital status, service entry age, and birthplace), predisposing (army volunteer status, discharge status, history of drug abuse, early-age alcohol use, and intelligence), and combat exposure variables. After adjusting for demographic and predisposing factors, all-cause mortality was associated with PTSD for all veterans combined (hazards ratio [HR] = 2.1, P < .001), as well as for era veterans without Vietnam service (HR = 2.0, P = .001) and theater veterans with Vietnam service (HR = 2.1, P < .001). For theater veterans, PTSD remained significant for all-cause mortality, even after controlling for demographic, predisposition, and combat exposure measures (HR = 2.1, P < .001). For external mortality, the adjusted results indicated that PTSD was associated with death for all veterans combined (HR = 2.3, P < .001) and for theater veterans separately (HR = 2.2, P = .002). For era veterans, the adjusted external mortality results also approached statistical significance (HR = 2.2, P = .068). Among theater veterans, PTSD remained significant for external mortality, even after controlling for all variables and combat exposure (HR = 2.2, P = .002). Combat exposure was not associated with external mortality once all variables were controlled. In addition, theater veterans who volunteered for Vietnam and those with dishonorable discharges were at increased risk for external-cause mortality.","%U https://www.ncbi.nlm.nih.gov/pubmed/17067875"
