"year","journal","pmid","title"
"%D 1987","%B JAMA","%M 3027422","%T Postservice mortality among Vietnam veterans. The Centers for Disease Control Vietnam Experience Study"
"%D 2014","%B Mil Med","%M 25269121","%T Comparing U.S. Army suicide cases to a control sample: initial data and methodological lessons"
"%D 2022","%B Curr Psychiatry Rep","%M 35576090","%T Guiding Army Commanders' Decision-making Process in Managing Their Suicide Prevention Programs"
"%D 2018","%B US Army Med Dep J","%M 30623398","%T Motivational Guest Speaker Presentation as an Anti-Stigma Intervention for US Army Soldiers"
"%D 2012","%B Inj Prev","%M 22398362","%T Mental health risk factors for suicides in the US Army, 2007--8"
"%D 2020","%B J Affect Disord","%M 32090779","%T Influence of hardiness, avoidance coping, and combat exposure on depression in returning war veterans: A moderated-mediation study"
"%D 2017","%B Int J Environ Res Public Health","%M 28362333","%T The Promise and the Challenge of Technology-Facilitated Methods for Assessing Behavioral and Cognitive Markers of Risk for Suicide among U.S. Army National Guard Personnel"
"%D 2010","%B Suicide Life Threat Behav","%M 20822367","%T Prior health care utilization patterns and suicide among U.S. Army soldiers"
"%D 2010","%B Mil Med","%M 20684449","%T Disease and nonbattle injuries sustained by a U.S. Army Brigade Combat Team during Operation Iraqi Freedom"
"%D 2006","%B Compr Psychiatry","%M 17067875","%T External-cause mortality after psychologic trauma: the effects of stress exposure and predisposition"
"%D 2021","%B Am J Public Health","%M 34623878","%T Mental Disorders, Gun Ownership, and Gun Carrying Among Soldiers After Leaving the Army, 2016-2019"
"%D 2016","%B Depress Anxiety","%M 26636426","%T EVALUATING POTENTIAL IATROGENIC SUICIDE RISK IN TRAUMA-FOCUSED GROUP COGNITIVE BEHAVIORAL THERAPY FOR THE TREATMENT OF PTSD IN ACTIVE DUTY MILITARY PERSONNEL"
"%D 2014","%B J Affect Disord","%M 24679384","%T Improving the detection and prediction of suicidal behavior among military personnel by measuring suicidal beliefs: an evaluation of the Suicide Cognitions Scale"
"%D 2016","%B Gen Hosp Psychiatry","%M 27302719","%T From impulse to action among military personnel hospitalized for suicide risk: alcohol consumption and the reported transition from suicidal thought to behavior"
"%D 2018","%B Depress Anxiety","%M 29748993","%T Use of crisis management interventions among suicidal patients: Results of a randomized controlled trial"
"%D 2017","%B J Affect Disord","%M 28142085","%T Effect of crisis response planning vs. contracts for safety on suicide risk in U.S. Army Soldiers: A randomized clinical trial"
"%D 2017","%B Depress Anxiety","%M 28370897","%T Associations of childhood bullying victimization with lifetime suicidal behaviors among new U.S. Army soldiers"
"%D 2019","%B Am J Prev Med","%M 30777160","%T Nicotine Dependence and Pre-Enlistment Suicidal Behavior Among U.S. Army Soldiers"
"%D 2023","%B Psychol Med","%M 36876647","%T Associations of polygenic risk scores with posttraumatic stress symptom trajectories following combat deployment"
"%D 2020","%B J Head Trauma Rehabil","%M 31306300","%T Associations of Lifetime Traumatic Brain Injury Characteristics With Prospective Suicide Attempt Among Deployed US Army Soldiers"
"%D 2023","%B JAMA Netw Open","%M 36692883","%T Exposure to Bullying or Hazing During Deployment and Mental Health Outcomes Among US Army Soldiers"
"%D 2011","%B Psychiatry","%M 21688957","%T When a soldier commits suicide in Iraq: impact on unit and caregivers"
"%D 2021","%B Mil Med","%M 33219666","%T Methodology of the U.S. Army's Suicide Prevention Leadership Tool Study: The Behavioral Health Readiness and Suicide Risk Reduction Review (R4)"
"%D 2020","%B Mil Med","%M 31755531","%T Development of the U.S. Army's Suicide Prevention Leadership Tool: The Behavioral Health Readiness and Suicide Risk Reduction Review (R4)"
"%D 2022","%B Mil Med","%M 35726499","%T Suicide Behavior Results From the U.S. Army's Suicide Prevention Leadership Tool Study: The Behavioral Health Readiness and Suicide Risk Reduction Review (R4)"
"%D 2021","%B Suicide Life Threat Behav","%M 34196966","%T Social closeness and support are associated with lower risk of suicide among U.S. Army soldiers"
"%D 2023","%B Psychiatr Res Clin Pract","%M 36909141","%T Recent Stressful Experiences and Suicide Risk: Implications for Suicide Prevention and Intervention in U.S. Army Soldiers"
"%D 2012","%B Telemed J E Health","%M 23061646","%T Challenges, solutions, and best practices in telemental health service delivery across the pacific rim-a summary"
"%D 2018","%B Health Educ Behav","%M 29353545","%T Prevalence of Bystander Intervention Opportunities and Behaviors Among U.S. Army Soldiers"
"%D 2012","%B Mil Med","%M 23025127","%T Projected rates of psychological disorders and suicidality among soldiers based on simulations of matched general population data"
"%D 2015","%B Work","%M 25227672","%T A mixed methods epidemiological investigation of preventable deaths among U.S. Army soldiers assigned to a rehabilitative warrior transition unit"
"%D 2014","%B Psychol Med","%M 25055175","%T Sociodemographic and career history predictors of suicide mortality in the United States Army 2004-2009"
"%D 2019","%B Psychol Serv","%M 30359074","%T Financial hardship and risk of suicide among U.S. Army personnel"
